video_id,title,description,channel,query_used,label,text_combined
lKJwnrWQn9Y,Preschool Learning activities for 3 year olds at home | Learn ABC Phonics Shapes Numbers Colors 🌈,preschoollearning #kidslearning #toddlerlearning Preschool Learning activities for 3 year olds at home | Learn ABC Phonics ...,The Soft Roots,kids educational videos,Educational,preschool learning activities for 3 year olds at home learn abc phonics shapes numbers colors preschoollearning kidslearning toddlerlearning preschool learning activities for 3 year olds at home learn abc phonics
lA6ONFMTdwE,Walking Walking | Kids Learn Traffic Safety Rules | Nursery Rhymes &amp; Songs #shorts,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,kids educational videos,Educational,walking walking kids learn traffic safety rules nursery rhymes amp songs shorts subscribe for new videos every week
MYymQoWYb4w,Learn Colors! 🍦🌈 Education for Kids!,Yum! Let's learn colors with tasty ice cream scoops. Can you name all the colors? Join the fun with CoComelon! #cocomelon ...,Cocomelon - Nursery Rhymes,kids educational videos,Educational,learn colors education for kids yum let s learn colors with tasty ice cream scoops can you name all the colors join the fun with cocomelon cocomelon
hTqtGJwsJVE,"Baby Learning With Ms Rachel - First Words, Songs and Nursery Rhymes for Babies - Toddler Videos","Have your baby or toddler learn with a real teacher, Ms Rachel! In this video Ms Rachel will teach key milestones and model ...",Ms Rachel - Toddler Learning Videos,kids educational videos,Educational,baby learning with ms rachel first words songs and nursery rhymes for babies toddler videos have your baby or toddler learn with a real teacher ms rachel in this video ms rachel will teach key milestones and model
WOn8gdKrZzY,"Toddler Learning First Words, Colors, ABCs &amp; Songs | Baby Learning Video with Lucas for Preschoolers","Enjoy an exciting educational video for toddlers and preschoolers, perfect for first words for toddlers and first words for baby as ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,Educational,toddler learning first words colors abcs amp songs baby learning video with lucas for preschoolers enjoy an exciting educational video for toddlers and preschoolers perfect for first words for toddlers and first words for baby as
seIckVcmv_s,🏊🏾 🛟 OmoBerry&#39;s Water Safety Video + Water Safety Rules + Water Safety For Kids #drowningprevention,"In loving memory of Aliyah Williams of Rochester, NY Help your kids and students learn how to become water safety superheroes ...",OmoBerry,kids educational videos,Educational,omoberry 39 s water safety video water safety rules water safety for kids drowningprevention in loving memory of aliyah williams of rochester ny help your kids and students learn how to become water safety superheroes
noCiE_1YRJo,"Toddler Learning Counting, Shapes, ABC, First Words For Kids, Toddler Videos &amp; Baby Songs With Lucas","Get ready for a fun and educational adventure with Lucas & Friends! This toddler learning video is packed with first words, kids ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,Educational,toddler learning counting shapes abc first words for kids toddler videos amp baby songs with lucas get ready for a fun and educational adventure with lucas friends this toddler learning video is packed with first words kids
O8389suK0JY,Learn at the Harbour | Sea Animal Names for Kids: Jellyfish Shark Horseshoe Crab Hammerhead Shrimp,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,Educational,learn at the harbour sea animal names for kids jellyfish shark horseshoe crab hammerhead shrimp say and repeat the names of each animal for babies toddlers preschoolers kindergarteners kids this video supports language
OTuph9pJWU4,Best Learning Videos For Kids | The Dr.Binocs Show | Fun Learning Videos For Kids | By Peekaboo Kids,Best Learning Videos For Kids from The Dr.Binocs Show Fun Learning Videos For Kids By Peekaboo Kids Share on Facebook ...,Peekaboo Kidz,kids educational videos,Educational,best learning videos for kids the dr binocs show fun learning videos for kids by peekaboo kids best learning videos for kids from the dr binocs show fun learning videos for kids by peekaboo kids share on facebook
0GTBjMEAmB8,Learn at the Double Waterfall | Sea Animal Names for Kids: Octopus Crab Lion Fish Pufferfish Turtle,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,Educational,learn at the double waterfall sea animal names for kids octopus crab lion fish pufferfish turtle say and repeat the names of each animal for babies toddlers preschoolers kindergarteners kids this video supports language
